ReviewID,Score,Title,Description,Date,UserName,GameID
000,5,Could play for hours,Description 9,2018-12-27,mekkinMcintosh,1
000,5,Not that bad,Description 5,2018-08-13,caraMills,1
000,5,Not that bad,Description 6,2018-03-25,riyoBarker,1
000,2,Very satisfying and beautiful game,Description 6,2018-04-12,terryDuffy,1
000,5,Could play for hours,Description 2,2018-08-26,karinKim,1
000,5,Not that bad,Description 7,2018-07-23,richardEsparza,1
000,2,Could play for hours,Description 9,2018-06-18,francineWeiss,1
000,1,Very satisfying and beautiful game,Description 1,2018-01-27,tomKnight,1
000,3,Very satisfying and beautiful game,Description 5,2018-09-24,amandaPatton,1
000,2,Very satisfying and beautiful game,Description 7,2018-08-24,dianeHoward,1
000,4,Could play for hours,Description 4,2018-01-24,margaretMeyer,1
000,5,Very satisfying and beautiful game,Description 7,2018-02-07,ricardoSaunders,1
000,5,Not that bad,Description 8,2018-12-21,drorMerritt,1
000,1,Amazing Game,Description 2,2018-01-21,kateChoi,1
000,3,Not that bad,Description 6,2018-02-20,jeremyMclaughlin,1
000,4,Very satisfying and beautiful game,Description 6,2018-11-29,sarahArellano,1
000,2,Not that bad,Description 4,2018-02-23,sarahSchmitt,1
000,4,Very fun to play,Description 4,2018-12-01,karaCastaneda,1
000,3,Very satisfying and beautiful game,Description 10,2018-06-13,richardKane,1
000,2,Very satisfying and beautiful game,Description 7,2018-07-24,judyGreer,1
000,5,Beatiful Surprise,Description 10,2018-05-23,mollyRuiz,1
000,2,Amazing Game,Description 3,2018-04-21,jeffCaldwell,1
000,2,Very satisfying and beautiful game,Description 3,2018-09-04,karaHensley,1
000,2,Very fun to play,Description 4,2018-05-01,emilyMorrow,1
000,3,Not that bad,Description 10,2018-02-03,dianeHoward,1
000,4,Not that bad,Description 8,2018-02-28,eranStevenson,1
000,4,Could play for hours,Description 4,2018-06-07,jeffShelton,1
000,2,Amazing Game,Description 2,2018-04-11,brentLutz,1
000,2,Very satisfying and beautiful game,Description 9,2018-05-23,paigeVillanueva,1
000,2,Very fun to play,Description 8,2018-09-02,jeffreyDoyle,1
000,4,Could play for hours,Description 10,2018-12-09,ninaArcher,1
000,1,Amazing Game,Description 8,2018-02-27,scottHowell,1
000,3,Beatiful Surprise,Description 2,2018-10-28,rebeccaAnderson,1
000,4,Could play for hours,Description 2,2018-10-19,andreiGraves,1
000,2,Very satisfying and beautiful game,Description 2,2018-07-21,kaitlinBender,1
